ORDER_NO,PURCH_AMT,ORD_DATE,CUSTOMER_ID,SALESMAN_ID,FNAME,EMAIL_ADS,CONT_NO,GENDER
70001,150.5,05-OCT-12,3005,5002,sweety,abc@gmail.com,546574535,f
70009,270.65,10-SEP-12,3001,5005,arpit,abc@gmail.com,546574535,m
70002,65.26,05-OCT-12,3002,5001,avinash,abc@gmail.com,546574535,m
70004,110.5,17-AUG-12,3009,5003,prity,abc@gmail.com,546574535,f
70007,948.5,10-SEP-12,3005,5002,khushi,abc@gmail.com,546574535,f
70005,2400.6,27-JUL-12,3007,5001,pankaj,abc@gmail.com,546574535,m
70008,5760,10-SEP-12,3002,5001,avi,abc@gmail.com,546574535,m
70010,1983.43,10-OCT-12,3004,5006,aryan,abc@gmail.com,546574535,m
7003,2480.4,10-OCT-12,3009,5003,swati,abc@gmail.com,546574535,f
7012,250.45,27-JUN-12,3008,5002,vishal,abc@gmail.com,546574535,m
7011,75.29,17-AUG-12,3003,5007,sahil,abc@gmail.com,546574535,m
7013,3045.6,25-APR-12,3002,5001,shubham,abc@gmail.com,546574535,m
